GEO,PETROGRAPH,RL_AVG,RL_MIN,RL_MAX,RL_AVG_KE,RL_AVG_EG,RL_AVG_1G,COUNT
508.0,KiesSandTon,106.4540229885057471,0.0000000000,519.00000000,110.3181818181818182,76.1477272727272727,5.6363636363636364,88
602.0,KalksteinMergelsteinDolomitsteinTonstein,57.5909090909090909,16.000000000,255.00000000,51.4242424242424242,43.8787878787878788,6.4545454545454545,33
608.0,SandsteinSchluffsteinTonstein,59.4814814814814815,0.0000000000,422.00000000,55.9642857142857143,51.3571428571428571,2.6428571428571429,28
659.0,SandsteinTonstein,61.0277777777777778,8.0000000000,359.00000000,71.0277777777777778,42.2777777777777778,4.7500000000000000,36
660.0,SchiefertonSandsteinKonglomeratKohlePorphyrbreccieTuff,62.3275862068965517,9.0000000000,268.00000000,45.2068965517241379,46.4827586206896552,1.6206896551724138,29
715.0,Phyllit,159.1875000000000000,0.0000000000,2471.0000000,180.5925925925925926,95.0246913580246914,36.4938271604938272,81
721.0,Glimmerschiefer,139.9833333333333333,9.0000000000,718.00000000,135.8333333333333333,92.9333333333333333,13.3000000000000000,30
760.0,Glimmerschiefer,140.0776397515527950,0.0000000000,3043.0000000,129.8536585365853659,106.0304878048780488,17.2439024390243902,164
761.0,Paragneis,129.5430107526881720,19.000000000,685.00000000,122.8494623655913978,103.6129032258064516,5.9032258064516129,93
833.0,GranitGranodiorit,316.3333333334615385,16.000000000,976.00000000,304.5769230769230769,272.9615384615384615,42.5000000000000000,26
834.0,Granit,294.8163841807909605,0.0000000000,5125.0000000,289.8156424581005587,163.1173184357541899,46.7150837988826816,179
858.0,,103.2916666666666667,0.0000000000,786.00000000,79.4102564102564103,70.4871794871794872,8.3846153846153846,39
